selected_text_processed,sentiment
sunniest exams,neutral
know stupid,negative
really think awesome,neutral
seriously link,neutral
worst highlight,negative
saw like hard would know upp,neutral
see,neutral
want hear u u r go nc dont bum anymore,neutral
get leave break know turn back,neutral
go thank think,positive
little,positive
cry,negative
indeed,neutral
last chicago make one wrigley likely,neutral
booked jessicaaaa,neutral
come see late,neutral
hah sparkly,neutral
cant see,positive
best go im go,neutral
work,neutral
happy,positive
still awake,neutral
shall meet somewhere utah,neutral
cant get onto one,neutral
go get bye,neutral
happy mamas ilovemymommy,positive
one dark,negative
cant see guy,positive
similar,neutral
wish bigger,negative
wonder go anywhere try learn turn hot,negative
cool think del go korea,positive
cheap good,positive
make,negative
eat hungry call,neutral
look forward finale next miss castle though welcome watch,neutral
great,positive
friends even able back,neutral
u believe plan promenade small international,positive
lately stole entire,negative
watch,neutral
languish,positive
build next one explain,neutral
bad,negative
finally,positive
hurt bad go,neutral
lose couch,neutral
swear,negative
good,positive
try learn get welcome though im,neutral
worse take still wake,neutral
friday,neutral
beautiful monday happy,positive
like,positive
lacey shutdown,neutral
go,negative
want,positive
slay sound bad funny indie little euro go bad,neutral
without,neutral
buddy long hows see cat still like sink ankle lol,neutral
get back online,neutral
wish,neutral
nice,positive
white come eve,neutral
infamous arrive,neutral
awake ready little,neutral
lolzz public,neutral
one bad,negative
last also come one,neutral
bad worth live anymore hurt quite like,negative
hit casa change swag would pradas tonight,neutral
delicious,positive
serious,negative
lol,neutral
moooooorning,neutral
medium easy,neutral
tip least make sure top securely tightly,neutral
miss,negative
yeah think earn,neutral
really get custody settle move another least,neutral
wish would instead,positive
much,negative
work,negative
swine,neutral
wish would come,neutral
much,positive
better im sure,positive
stayed,positive
around,neutral
happy allmothers,positive
back happen occasionally wednesday,neutral
finish,neutral
na happen right,neutral
bad,negative
hilarious,positive
sound great go,positive
come back au lie east tonight,neutral
love watch yt videos really look forward see,positive
happpppy,positive
tire talk,negative
get big hubby go u think,neutral
want,neutral
follow,neutral
easy best love lose mine early,neutral
update watch,neutral
nt excite,negative
happy,positive
glad know u gmtv miss,neutral
look,positive
must come flat rockin decide come nice,neutral
know,neutral
walk downtown also mystery miss solve locked nearly two,neutral
yeah lie bed block pin pet apparently,negative
start,neutral
watch,neutral
oh always,neutral
hop,positive
excite,positive
oh,negative
tire hungry,negative
great,positive
listen try take still til get,neutral
know know lol one dancefloor,neutral
sure forgot though,negative
talented,positive
bore,negative
godawful worth,neutral
bring new,neutral
finally instal would good could download instal mobile,neutral
happy friday didnt,neutral
miley song video,positive
write,neutral
finally drink hill stupid,neutral
different around,neutral
quiet,neutral
go,neutral
please,neutral
still gon na sick,negative
great,positive
boot,negative
great relate,neutral
amaze,positive
tire,negative
enjoy,positive
stupid really want jealous,negative
pretty least,positive
terrible,negative
hear,negative
know wolverine fanatic suck,neutral
best,positive
one,neutral
still feel poorly,negative
much,positive
feel well,negative
know,neutral
look beautiful blue great forecast good,neutral
okay fine study,neutral
watchin,neutral
wind soon adrenaline,neutral
go bed goodnight,neutral
call know new forward,neutral
crew birthday,neutral
see,neutral
rarely red first aaaagggessss,negative
miss,negative
great,positive
mean either huh,neutral
bad forced must helpline call good,neutral
oh know,neutral
upload new babe,neutral
apologise,negative
fail,negative
let queer boys donate,negative
tweet soon,neutral
travel inspire ready,positive
watch,neutral
annoy,negative
hard,negative
could meet u think happen,negative
like na pee,negative
excite,positive
long though dianne cute usual hopeflly put youtube,neutral
happy,positive
get,neutral
u,positive
holy super,negative
frustrate,negative
get,neutral
wish outside,negative
gig right even,negative
get use even get use,neutral
go drag,negative
get pay nowhere near much would,neutral
great,positive
hop,positive
sissy post cupie,neutral
watchin hoedown throwdown,neutral
sad true,negative
pack,neutral
u go like last think around kill animal ur old,neutral
good,positive
go bed,neutral
look little,neutral
die,negative
stuffted get ta get go,neutral
also realize many internet hot ok catty,neutral
mum drive eric,neutral
want reply one u lmfaoooo,neutral
join add random,neutral
stupid,negative
ok clean,neutral
interest say least overall good,positive
grateful ur,positive
meet bella new,neutral
last two know go,neutral
aparently sight album sampler,neutral
well,negative
love,positive
ahhhh smart,positive
sign go live would come,neutral
get watch show,neutral
good,positive
sleep,negative
work tonight pple diet,neutral
stop,negative
nope really want,neutral
good,positive
nuthin much ready,neutral
bad,negative
spend nurse one replace vodka wine japanese,neutral
watch,neutral
pierce,neutral
still awake work,negative
late,negative
one leave,neutral
les moshie,neutral
grand,neutral
good come right miss,neutral
hear kelli new,neutral
really borde know,neutral
goodnight see sleep,neutral
toy,neutral
hard,negative
yes yes network fullest next,neutral
confuse,negative
like,positive
unlimited,neutral
okay new episode awesome,positive
good,positive
like cry,negative
traumatize sadden find abandon,negative
update soon,neutral
actually need clean,neutral
agree,neutral
use ago argument pretty sound trolley,neutral
bad,negative
first see clear blue,neutral
ready back wan leave,negative
really smart,positive
try,negative
xbl could manage,neutral
u,negative
bring,neutral
love,positive
back,neutral
watch maaaannnnnnnnn,neutral
know,neutral
good,positive
wicked,negative
hilarious,positive
well u,positive
see might want pic new sheriff,neutral
firefox ok,neutral
great,positive
require python yeah tweet dont install,neutral
like nintendo,neutral
prooved tough,negative
come,neutral
always write holy,neutral
think still get goldfish see,neutral
ugh,negative
make sure look right,neutral
good,positive
bed,neutral
bore,negative
wait rid,neutral
really twitter know,neutral
fantastic,positive
goose loose blame,neutral
sit wait hop would hurry hell move super,neutral
wish,positive
listen gd dude never get tell amaze,neutral
cant ummm still sick,neutral
say,neutral
remote dead,negative
piss,negative
expect note amaze,positive
big much,positive
check comment,neutral
oh gfail,negative
perhaps lie deep ocean,neutral
good make good,positive
bore,negative
get back six wicked fun even tho almost die,negative
ahhh see,neutral
huge,positive
milkshake,neutral
well kindest unfortunately,neutral
good,positive
safely see,positive
get better soon cold well,neutral
think go hounslow go wrong know,neutral
hang,neutral
nice,positive
wish know put stole never give back occasionally like,positive
agree gorgeous,neutral
good,positive
prom germany although almost everywhere,neutral
bore,negative
much,negative
poor take seattle rid lap happy long,neutral
play either,neutral
go evo,neutral
never hear say like monday must early cup two,neutral
hopefully,positive
kindergarden,neutral
na miss much,negative
four novacaine mouth right totally numb,negative
barely hr bless like come sore throat,neutral
another one take piss,negative
love happy,positive
happy,positive
hopefully,positive
hard,negative
look nice,positive
try get much,negative
go physical include new,neutral
drag low slowly wine sensible hit often,neutral
see twitter name,neutral
may maybe see cuz tayo hahaha lang,neutral
bang,negative
angry,negative
think officially bit dust,negative
do defend go bed im na give happy least ill,neutral
poor little,negative
good last freedom back stoke well,neutral
lucky like long take dry,neutral
wtf hole bread,negative
talented,positive
love,positive
could get,neutral
feel good,negative
wrong,negative
stupid,negative
still believe,negative
fast forward right,neutral
anita,positive
yay know felt go,neutral
kill,negative
lose,negative
force,negative
nov,neutral
really stuck might stay watch,neutral
set go every bed,neutral
know sick awesome nonetheless hope u better,neutral
always good,positive
nd,negative
think tour go fast,neutral
agree forget,neutral
happy,positive
happy,positive
ave sweetest obviously great love read,positive
go logic,neutral
na miss super load wish go wayy long,negative
find,neutral
blister,negative
cry,negative
flew still gon na meet,neutral
seriously know,negative
amaze,positive
know clean either washer,neutral
interest,positive
sell drumset sad,negative
whole,neutral
hope get better soon,positive
great,positive
na eat,neutral
get well soon,positive
cry,negative
hungry right,negative
good haha ily christian na watch daze confused also first watch ha,neutral
good,positive
go,neutral
bad,negative
almost,neutral
really suppose home couple hate visa,neutral
without shower,neutral
share,positive
go father domestic around v know,neutral
stuck,negative
happen,negative
forever,negative
beautiful u,positive
annoy,negative
till,neutral
cool,positive
feel safe finally jail,neutral
suck sorry look like eight old,neutral
even hot,negative
hilarious,positive
last look back,neutral
get gd sake,negative
may,neutral
early,neutral
fiona sad,neutral
good,positive
miss,negative
live say sure far nyc live,neutral
um close always make bc go anyway,neutral
look forward,positive
seem,negative
follow,negative
make mother really awesome come early,positive
happy,positive
want somatic want leopard somatic sad big,neutral
impossible,negative
windy rainy,neutral
clean apartment make mess oh help come clean,neutral
alone besides get ta,neutral
back sunny though,neutral
u like den short,neutral
amaze,positive
tire,negative
line ill post screen lj unless otherwise,neutral
turn early,neutral
tire,negative
happy,positive
ard earn,negative
pay,negative
tire,negative
begin fade drown past tea cant seem forget come along,neutral
thank,positive
una start ng ago,neutral
wish,positive
like need local market book vega,neutral
lose,negative
great,positive
get right know find come cry really im still happy,neutral
bowl hundred weigh last,neutral
confused great push away,neutral
feel last drink far much one fair tho,neutral
ouch,negative
head finish,neutral
good,positive
still stupidly sick cancel philly sad,negative
happy,positive
do,negative
barely,negative
good iam super nervous one,neutral
get wednesday,neutral
interested,positive
seem,negative
impressed,negative
nd alone,negative
function alzheimer key hear,neutral
suck,negative
okiebud get sorry select currently available,neutral
welcome,positive
fake anymore look bio onto,negative
amaze well long,neutral
picked last,neutral
fry,negative
gutted,negative
high,negative
lovely,positive
mad puppy,negative
least,neutral
happy show love beautiful amazing,positive
bust smell like bowl gross need new roof,negative
lose,negative
new say tweet lowest get shout u,neutral
know,neutral
get,neutral
lol,positive
happy,positive
love,positive
wtf best still meet,negative
nice outright deny good,neutral
still play infamous,neutral
din w,neutral
ugly,negative
sadly,negative
perfect,positive
twtvite,neutral
f much im,neutral
back hair new due,neutral
ugh,negative
ugh,negative
nice,positive
still,negative
except like usually,neutral
miss lovely ubuntu,neutral
get,neutral
real bad,positive
start use,neutral
nice,positive
oh newly mint buy iced chocolates plural,positive
happy,positive
mess get better,neutral
relax,positive
u,neutral
tough,negative
dear,negative
duck back,neutral
give,positive
twitaddicted,neutral
complicate,negative
well,positive
nicest,positive
sadly one suppose do individually social,neutral
want anyway,neutral
want go sleep dosen shoot die,neutral
go chantal,neutral
great,positive
fantastic,positive
stubborn right care though,neutral
become slower slower,neutral
pool believe pay,neutral
good want,positive
madrid typical,neutral
really really itchy,negative
maybe stuck,negative
good certainly,neutral
really tire,negative
make,positive
want,negative
bad,negative
hit soon,neutral
try,neutral
well need small fit would,neutral
break,neutral
want,neutral
bore,negative
well take,neutral
bloody full book though,neutral
amaze,positive
welcome back,neutral
saw shock,negative
still stay want,neutral
good,positive
listen wrong,neutral
jealous,neutral
back friday,neutral
sad,negative
jealous,negative
realize animal early stick,negative
like,negative
bless,positive
ok walmart sunburn,neutral
get,neutral
awww well like perfect funny,neutral
retweeting matrix pro easy go,neutral
great,neutral
much,positive
join one follow,neutral
want go,positive
shop lucky already finish im stuck,neutral
big know,neutral
smoke n stupid,negative
private,neutral
see knock top wefollow,neutral
ever,neutral
better,neutral
tonight cooperate,neutral
miss one make sad,negative
love wear even though usually get terrified,neutral
well obsess watch first one last glorious,neutral
new,neutral
get rundown,neutral
wasnt real fail get right leave,neutral
great,positive
go kiddo finish,neutral
lock,neutral
bad,negative
buck say know go think let know boulder still beach,neutral
sorry get see,negative
maybe lay make swineflu illegal abide get,negative
last drop let end,neutral
get caught probably gunna watch till,neutral
misconstrue,negative
n uterus u na rub lol ok,neutral
take,neutral
happy,positive
love,positive
joined,neutral
actually tell,neutral
nice,positive
big always seem fitting,neutral
warn,negative
amaze,positive
subtly replace test see yet,neutral
recollect almost perfect except unkown hang much mental,neutral
amazingly cool,positive
wait,neutral
good,positive
pretty john bring,positive
worst,negative
wish come australia new sticky,neutral
almost forget hoe type long anway,neutral
chris,neutral
desktop wallpaper like inside,neutral
disappoint,negative
little late leah happy,positive
good hallway stick,negative
bad,negative
follow around though many,neutral
link earn free get paypal minimum,neutral
drag come handy,neutral
oh cool,positive
throw tantrum go know well enough yet apologetic,neutral
better,positive
grtsat bggeting,positive
finally roll stop,neutral
dark heaven try,positive
bad,negative
love,positive
uber sick,negative
saddest,negative
like,negative
chat,negative
still wait,neutral
send,neutral
get back saw monday mayday public,neutral
hungry,neutral
cant wan na think may go bk sleep uugghh,neutral
final bigger,neutral
look prettier pretty sure ugly,neutral
say good ask nicely,neutral
ask old drink,neutral
intentionally mention,negative
even last one,neutral
accept,neutral
hug,positive
short,neutral
busy ever srsly,positive
lie,negative
miss,negative
head,neutral
mother,positive
new,neutral
oh know retract last,neutral
sad see love,neutral
move,neutral
try beat well maybe follow,neutral
lovely,positive
go didnt scan,neutral
u tire u go u get ur ur tire,neutral
flickr longer recognize,negative
convince,negative
unopened cheese starin starve,neutral
good,positive
fussy,negative
good,positive
happy,positive
lovely,positive
hope,positive
shipwreck suspend get cancelled drive one live near,negative
officially kindergarten,neutral
bless,positive
nothinbg shower call,neutral
love,neutral
sell want bday lo,neutral
excite,positive
lucky,positive
close last friday,neutral
last,neutral
excite,positive
wait pick aston,neutral
goodnight beautiful olive,positive
ahhh sleep late go whos real late get cold,neutral
good,positive
write,neutral
let,negative
weir,negative
wish could go someday u u,positive
do though like make feel good,neutral
happen poor,negative
great,positive
get ready wait pick josh dinner perhaps baccck,neutral
take really pretty lot,positive
good,positive
plan leave last,neutral
love high,positive
hold erica bean,neutral
one,negative
go big,negative
appreciate yeah sure great,positive
better make butter olive also like cook napkin,neutral
awwww never notice,neutral
tell say papa make happy somehow help,neutral
unplugging good one,positive
back great,neutral
last give sure appear,neutral
aww happy,positive
napppinggg,neutral
oh yeah take,neutral
act crazy miss update fixed,neutral
happy,positive
happy,positive
odd try call,negative
probably wasnt bet dont understand either look,neutral
longer sophomore junior bring new hit,neutral
belly speak,neutral
leave u,neutral
happy,positive
amazzzing,positive
hey send finally come back send,neutral
vote somehow looked hiss forgive great,neutral
together gross,neutral
attack,negative
right order static set apologize,neutral
think mom award nope tad selfish,neutral
happy,positive
silly,negative
full,positive
commit suicide,neutral
go,negative
happy,positive
still havent pack,neutral
still get full last,neutral
hope get decently price real,positive
wait get back stop work,neutral
wish come,neutral
tire tire tired im get sick,negative
honestly,positive
oh,neutral
real n sumthin crd u scorpian,neutral
upshot want uhh well wish best,neutral
definitely follow follow since,neutral
think miss last,negative
ed,neutral
go get u cos nonlong buy new,neutral
hurt ever im gross,negative
get sound go,neutral
never get,negative
usually creative lately feel creative good,neutral
alright,neutral
happy,positive
happy,positive
prefer overcast sorry hot,neutral
last high ever ever ever,neutral
slightly dont like much,neutral
repost,neutral
efteling great nice,positive
make sure u description better,positive
good go awesome even though terrible,neutral
make little cover upside back,neutral
begin may worst,negative
happy,positive
back start chirp instead,neutral
happy,positive
update,neutral
need wear watch eat talk,neutral
frown still love,positive
never wear pajama,neutral
get ta finally lol,neutral
really want,positive
represent high get free,neutral
please play,neutral
net,negative
better,positive
want welcome,positive
always bake late worry na bother,negative
good,positive
know come home go back,negative
really hard,negative
lose,neutral
please anymore,neutral
big come every wait yell store first,neutral
still miss,negative
oo ok open say like conrad andswere haha,neutral
get let,positive
hard,negative
still go aero free,neutral
think,negative
view,positive
aw well glad hear okay hot maybe calm,neutral
happy,negative
funny almost right,positive
uploaded also hd,neutral
delicious,positive
local comic run one,neutral
u na come minnesota though,positive
investigate whether could change username already nab,neutral
go see star full get better,neutral
accept keep,neutral
really cute,positive
tink n street ny wait friday crazy,neutral
nooo stay get fix,negative
great,positive
still use snail,negative
first new buy new already,neutral
must different get catullus ovid,neutral
easy ux think like hear,neutral
would sleep good,positive
get new,neutral
know old like realize one else,neutral
bore,negative
think come,neutral
unloved,negative
last sad happy anxious,neutral
like,negative
ok get ta go back later,neutral
cool wish able,positive
dance,positive
eden,neutral
bath quite especially,negative
along,neutral
lately,negative
miss instead loose gain new,neutral
try,neutral
sad,negative
get polo feel bit do though,neutral
still hurt little,negative
good,positive
decide want,negative
get,neutral
glorious glasgow work much even contemplate knock early,neutral
good,positive
free,positive
many lack,negative
special,positive
great,positive
well give,neutral
awww want,neutral
sorry,negative
bum,negative
make,neutral
back,neutral
nvr want may come,positive
lucky gorgeous,positive
sick,negative
new,positive
take,neutral
happy,positive
u gm probably,neutral
look forward,negative
never think fall much good,neutral
stupid,negative
get better pain though want give poor,neutral
give big last last first soon,neutral
believe,positive
good happy hope,positive
samberg,neutral
oral leave learn oh least write,neutral
miss,negative
oh na buy girl allow talk,neutral
really gon na,negative
happen excite though,neutral
get ready long friday saturday,neutral
everytime feel need lo,neutral
come wed want right sug,neutral
live rockstar one,neutral
espresso,neutral
ceramic later,positive
happy,positive
make,positive
ok next see il get explain whole,neutral
happy,positive
devastate,negative
notice hallway bbq hop,neutral
enjoy,positive
really hurry australian freaking,neutral
pay go think vote,neutral
change,neutral
excite,positive
would like,neutral
let,neutral
wonderful think handle small every,neutral
hopefully,positive
think mean suppose get go,neutral
thanx,positive
ache,negative
typical,negative
jealous,neutral
suppose sleep,neutral
pout go,neutral
toy long,neutral
decent australian hard find trust better american,neutral
good,positive
love,positive
better,positive
really hurt,negative
feel miss,neutral
nice,positive
nice,positive
trip talk aussie automatically come,negative
get need apartment,neutral
think like,neutral
order cuuutest new nieceï¿½s arrive back sa make,neutral
lol,neutral
know,neutral
difficult upkeep,negative
mean,neutral
hopefully,positive
little hungry nice,neutral
disappointed,negative
great,positive
get ta find another live new,neutral
forgot old follow itsjeff soon prefer address,neutral
cramp,negative
texting tell want come say tire lol say bring,neutral
ariyan want use bandwidth download hamish,neutral
think since international,neutral
hole quite nicely one regret never marry gotten,neutral
rely mobile try look silly,negative
watch eat pineapple,neutral
make lol real,neutral
glad close,neutral
think pot work,negative
early,neutral
think itd amaze cover get paramore haha im know,neutral
little,neutral
lonely,negative
super keen rain additional require really wan na deal,neutral
bad,negative
actually really liked last eh sing like,positive
enjoy pale shirtless attractive,neutral
buy little plastic personal jewel perfect wish long,neutral
nice,positive
happy,positive
think okay really really really hope swear mad,neutral
remember drink plenty buwieser dose,neutral
last tonight,neutral
right start,neutral
barely,negative
go badly hope improve,neutral
good,positive
get deadline,negative
best,positive
even sarcastic even though told,neutral
actually love nasty,neutral
miss,negative
piss,negative
think would win,negative
totally break right monday pay though,neutral
save,positive
wish different,neutral
happy hope hard bed back,neutral
hard,negative
list anywhere,neutral
already discuss,neutral
pretty satisfied much,positive
english half english anyway fii,neutral
true,positive
burn ohh,negative
wrong,negative
another,neutral
tell take real would tell,neutral
eat right,neutral
aaahhh great,positive
last ever uk,neutral
better,negative
miss,negative
seem,negative
aw frank like cool fully understand think,neutral
grow back,neutral
waah longer,neutral
need,neutral
seduce,neutral
great,positive
quite friendlyand still annoy get woke eight though,neutral
fun,positive
happen,neutral
suck,negative
watch,neutral
else go trip national leave,neutral
great,positive
try battle nambu really good,neutral
might melt come back,neutral
amaze,positive
kill,negative
able pull,neutral
bad,neutral
tried reply mono lake happen say know,neutral
know,neutral
wide shut one ive see wan na sell sleep,neutral
r weird,negative
happy wish take,positive
amaze,positive
make need get,neutral
back,neutral
look,positive
come next,neutral
okay weather cute friendly dont could warm one cold next,neutral
best best,positive
like,negative
disgust,negative
suggest pta generally stand u might confuse,neutral
negghead,neutral
come dublin dance whatcha think,neutral
look forward,negative
still would get look,neutral
oh suppose go see star sun least,neutral
good,positive
back drive back,neutral
go earlier,neutral
tried direct follow,neutral
ok delete hope come back,neutral
still feel friend wish wand,negative
last jay late,neutral
benefit,positive
sleep good last,negative
energize another,positive
see,neutral
miss,negative
get get freakkin,neutral
amaze wake,neutral
watch last,neutral
seem like since never change n workin,neutral
surely,neutral
fantastic,positive
intrigue,positive
lovely,positive
great,positive
much,neutral
go get take,neutral
still tire,negative
work wait get make,neutral
tip,neutral
kill,negative
hard,negative
much love texas could interfere,neutral
good,positive
miss,negative
good,positive
totally lose,negative
watch illuminate dreaaaming,positive
though,positive
hungover never hungover know think may new superpower la whalen,neutral
really want take want ok soft,neutral
sometimes need relax,positive
enjoy nice stick write,neutral
back,positive
always,positive
nice,positive
nice,positive
close many wth happen walk go,neutral
tire,negative
lovely meet,positive
amaze,positive
jealous,negative
na smell,negative
go bed nighty sure go tweetup,neutral
imagine,neutral
like,positive
best,positive
get ready go comedy listen ichat right need outfit,neutral
great,positive
hose,negative
early,neutral
could take pillow dead serious,neutral
dead,negative
whiskey awesomness,neutral
scary,negative
nvm stop whatever see,neutral
know crazy use see recently,positive
bad,negative
think,neutral
sadly,negative
though,negative
horrible poor,negative
finally big travel ahhhhhh,positive
whatever u want u wear stick around dumbo,neutral
lazy,negative
please add friend,neutral
miss,neutral
totally,negative
find ten typo one include one happen,neutral
bit little britain u,neutral
driven theatre develop thick audition since,neutral
continue w fav,neutral
amaze better,negative
sprawl,negative
omg till,neutral
cant,negative
closest good two,neutral
alrightttt netball nowww,neutral
good,positive
first lady fuschia,positive
edit take soccer get lot,neutral
anymore,negative
back tag top ugh vera go,neutral
hunt always wonder,negative
happy,positive
great,positive
sharkeez,neutral
mother favorite hard,neutral
start wed end funeral,neutral
get back scan amaze cry,neutral
would love,positive
happy,positive
late,negative
fantastic,positive
unfortunately fix oh well lovin,neutral
excited new push episodes make much worse finally get,neutral
relax,positive
really fly frd go abt bring sexy,neutral
yeah nite go see star remember say,neutral
jealous,negative
swear evil green,neutral
ok,positive
like,positive
omg like last think die catche,negative
miss walk,negative
get smile wait,positive
sleep,neutral
already,negative
funeral go bad,negative
bust,negative
make,positive
sure rainy leave everywhere would love u follow u,neutral
miss,negative
nah next,negative
understandable,positive
wake early still sick,negative
oooh yeaah fooood find right front,neutral
happy amma make u cake remember u love,positive
lol get ta get microsoft,neutral
tire,positive
quite miffed,negative
address,neutral
look vibrate like try find,neutral
long,negative
gutted,negative
thrown get,neutral
back empty,neutral
finish ago bittersweet need new,neutral
want come kiss,positive
real sleep,negative
instal youtube downloader make,neutral
buy aswell twice co order aswell cya later x,neutral
love,positive
french,neutral
tire,negative
know wed suppose know,neutral
want think,neutral
like might rain,neutral
super high,positive
visit since go,neutral
call,neutral
say eve,positive
look like,neutral
stop bgt,neutral
need catch new go fly,neutral
amaze,positive
really im mga le,neutral
listen random lean toward,neutral
oh,positive
back,neutral
go,neutral
ever plus twilight good looooooove much,positive
indeed,neutral
thank long take finish,neutral
come mighty,neutral
go,neutral
let,negative
go bday caled little name make,neutral
call come give u call u chick,neutral
dramatic,negative
would think want,neutral
unfortunately,negative
certain write pornstar usually get delete within,neutral
u,negative
solid better,positive
multiple social think cool add choose mu,neutral
great,positive
yay,neutral
good,positive
seriously fail,negative
nicest,positive
mention last watch,positive
feature,neutral
get ta shower go apply hopefully creepy old work,neutral
get soooo,negative
lovely,positive
could one go bahamas next,positive
get math hell yes,positive
amuse,positive
would get do could list etsy,neutral
bed oh wish lay next,negative
straight,neutral
miss,positive
look find,neutral
fabulous,positive
aw,neutral
na come go myka,neutral
nice,positive
amazing keep online one unfortunately,neutral
delicious,positive
believe,positive
draw show much,negative
ironclad,positive
study fail come make u,neutral
piss let follow,negative
last run experiment leave,neutral
record new,neutral
trash,negative
oh god happy,neutral
alot new really old new check new wish,neutral
back prom,neutral
sweet become since leave,neutral
happy,positive
far know shrug maybe send,neutral
high five,positive
look,neutral
yummy cake wish even get one,positive
snore still love,neutral
great,positive
find leave lovely flat wait plumber still good,neutral
bore,negative
bore,negative
already crazy,neutral
break,negative
finally make,positive
hello,neutral
go crazy unbearable get ta,negative
impressed,positive
nothin better blast th loud hear,positive
good,positive
would know,neutral
aww arrive,neutral
tweep,neutral
update look like miss,neutral
good,positive
hear,neutral
formidable,positive
u like,neutral
get better,positive
love best,positive
expect silverlight realize,neutral
ok jealous wish,neutral
cry,negative
struggle,negative
lose,negative
always amaze,positive
open,negative
hopefully,positive
happy,positive
e great,positive
look forward,positive
good,positive
eat usually ew full full full,neutral
almost do first spa missed head close de,neutral
poor,negative
tire,negative
hate,negative
quite like lily allen,positive
great force leave,neutral
like,positive
refuse,negative
much grumble always waste useless mum ipod,neutral
bad,negative
wake early know go back sleep,neutral
hear susan boyle come beautiful ever see bad first though,neutral
well do,positive
lol nah get dvd first since already order,neutral
bad,negative
know lo,neutral
pretty good depress though,neutral
aim,positive
great,positive
good,negative
well,neutral
wait,neutral
oh,negative
new forest would lose,positive
think might make go first may witness historical real,neutral
first spiderweb full almost set rid almost,neutral
unfortunately,negative
happy,negative
laugh hopeful,negative
sure good,positive
amazing,neutral
good,negative
without v feel like,neutral
love hate unintentionally make,neutral
think,neutral
like great start enjoy,positive
wake back sb good,positive
really fancy right,positive
scar,negative
least next big wide,neutral
happy,positive
glad,positive
mmmm,neutral
trek wrong,negative
finish make,neutral
one,neutral
choke,neutral
late,negative
miss,negative
happy,positive
assembly require u ask medical still need fill,neutral
arrange blew leave early,neutral
badly,negative
must,positive
text,neutral
new,neutral
fat,negative
sadly,negative
good,positive
dead,negative
yes imagine need otherwise function good,neutral
come add new,neutral
like,positive
bad,negative
gal mean extra test,neutral
tire long crash,negative
fantastic,positive
want funny,positive
wear,neutral
blow away rain harder well do,neutral
get rain,negative
drink apaently need ittt,neutral
great,positive
would awesome think hate expensive,neutral
try think calm peaceful,positive
watch,neutral
leave behind,neutral
wrong,negative
base may may force,neutral
excite,positive
run back would burn double,neutral
rain,neutral
maybe toast delicious one,neutral
come cold ago wicked nice like back,neutral
gutted,negative
three hair still straight,negative
could post link internet read,neutral
want real back,neutral
theres,neutral
quiet,neutral
friday work,neutral
make,positive
fcking,negative
live live,neutral
lol fresh love u almost give u u nvr u luv,neutral
sorry hear good comming,neutral
mobile im slow,neutral
oh make well officially first,positive
want go apparently available,neutral
gloomy stop,positive
woo,neutral
know,negative
cant believe close ive never show good,neutral
really high hagg go especially bomb,negative
say complain theese help,negative
nice big,positive
ruin,negative
k good could,neutral
hop great,neutral
hopefully,positive
good bos nice like,neutral
bliss sorry u,negative
last,neutral
still feel,negative
last,neutral
watch get ready bed,neutral
calm happy would ok take away,neutral
afterjune,negative
oh,neutral
finish,neutral
croon,negative
go grandpa celebrate find change chinese bring,neutral
like plan well,neutral
let,neutral
get good,positive
love,positive
omg rat,neutral
fell bed lmfao get fright,neutral
interesting,positive
last publish web digest weekly next,neutral
sweep,positive
follow u,neutral
happy,positive
able,negative
die,negative
pass away,negative
go texas eeekkkk,neutral
make,negative
nice,positive
take astronomy,neutral
go last na,negative
miss,negative
feel breathe believe keep never ever gon na think go,neutral
go make afraid get next hopefully,neutral
may bea able,positive
get good,positive
really sure,negative
lose,negative
english well weather,neutral
huge shop let see,neutral
one one go,neutral
relax,positive
near,neutral
get ta go could use,neutral
aaaaaaaaaamazing,positive
die,negative
do,neutral
play actinggg,neutral
tire really exciting oh well hope better,neutral
go fast,neutral
u like new,neutral
perfect,positive
want push dvd want make copy go,neutral
change,neutral
get excited go alone never mind lose,neutral
sick seem like get better,negative
sell think,neutral
hurt beyond much,negative
really say releasd n main even hav,neutral
lucky,positive
suppose meet,neutral
come,positive
hard android unable,negative
happy,positive
see u see list,neutral
wish kiddnation,neutral
please please please please let match cancel,positive
frustrate,negative
see,neutral
alone much,neutral
doesnt come anymore jus wrong say,neutral
happy,positive
miss,negative
put,neutral
good,positive
bear,neutral
know amaze sit great,neutral
like,positive
hello new welcome new,neutral
make,neutral
drag,negative
boil,neutral
make,positive
happy,positive
know drive always get ac go,neutral
please please please think,positive
do finally start shut,neutral
oh get go bed,neutral
good go overseas,negative
hopefully,positive
get excited thought,negative
happy,positive
like,neutral
back,neutral
lose,negative
graphic make,neutral
get cleared hat though,neutral
eat oreo,neutral
na miss,negative
quiet,neutral
filthy lovely,negative
ok,neutral
gt,neutral
look forward,positive
make,positive
long,neutral
much lately get onto,neutral
barely,negative
think remember enjoy,positive
lay,neutral
comfort,positive
hot,positive
nice,positive
productive,positive
anymore back,neutral
could buy,neutral
learn spotlight,neutral
back,neutral
early sunny,neutral
enjoy,negative
play full older need educate,neutral
apparently first follower embarrass,neutral
finally back alice propose get marry next may,positive
get fire,neutral
afraid one,negative
bore,negative
come far enough south,neutral
well normal,negative
entirely long nap long enough,neutral
miss,negative
look find,neutral
still get,neutral
ouch,negative
like,negative
hop,positive
attack come inside,neutral
get ta finish,neutral
happy,positive
look new fell window bright green,neutral
feel better,positive
